feature,nonnull,n
phys_qtaim_status_ok,5649,5649
phys_qtaim_all_bcp_ELF_max,4239,5649
phys_qtaim_all_bcp_ELF_mean,4239,5649
phys_qtaim_all_bcp_ELF_min,4239,5649
phys_qtaim_all_bcp_ELF_p05,4239,5649
phys_qtaim_all_bcp_ELF_p50,4239,5649
phys_qtaim_all_bcp_ELF_p95,4239,5649
phys_qtaim_all_bcp_ELF_std,4239,5649
phys_qtaim_all_bcp_G_max,4239,5649
phys_qtaim_all_bcp_G_mean,4239,5649
phys_qtaim_all_bcp_G_min,4239,5649
phys_qtaim_all_bcp_G_p05,4239,5649
phys_qtaim_all_bcp_G_p50,4239,5649
phys_qtaim_all_bcp_G_p95,4239,5649
phys_qtaim_all_bcp_G_std,4239,5649
phys_qtaim_all_bcp_H_max,4239,5649
phys_qtaim_all_bcp_H_mean,4239,5649
phys_qtaim_all_bcp_H_min,4239,5649
phys_qtaim_all_bcp_H_p05,4239,5649
phys_qtaim_all_bcp_H_p50,4239,5649
phys_qtaim_all_bcp_H_p95,4239,5649
phys_qtaim_all_bcp_H_std,4239,5649
phys_qtaim_all_bcp_LOL_max,4239,5649
phys_qtaim_all_bcp_LOL_mean,4239,5649
phys_qtaim_all_bcp_LOL_min,4239,5649
phys_qtaim_all_bcp_LOL_p05,4239,5649
phys_qtaim_all_bcp_LOL_p50,4239,5649
phys_qtaim_all_bcp_LOL_p95,4239,5649
phys_qtaim_all_bcp_LOL_std,4239,5649
phys_qtaim_all_bcp_V_max,4239,5649
phys_qtaim_all_bcp_V_mean,4239,5649
phys_qtaim_all_bcp_V_min,4239,5649
phys_qtaim_all_bcp_V_p05,4239,5649
phys_qtaim_all_bcp_V_p50,4239,5649
phys_qtaim_all_bcp_V_p95,4239,5649
phys_qtaim_all_bcp_V_std,4239,5649
phys_qtaim_all_bcp_count,4239,5649
phys_qtaim_all_bcp_ellipticity_max,4239,5649
phys_qtaim_all_bcp_ellipticity_mean,4239,5649
phys_qtaim_all_bcp_ellipticity_min,4239,5649
phys_qtaim_all_bcp_ellipticity_p05,4239,5649
phys_qtaim_all_bcp_ellipticity_p50,4239,5649
phys_qtaim_all_bcp_ellipticity_p95,4239,5649
phys_qtaim_all_bcp_ellipticity_std,4239,5649
phys_qtaim_all_bcp_laplacian_max,4239,5649
phys_qtaim_all_bcp_laplacian_mean,4239,5649
phys_qtaim_all_bcp_laplacian_min,4239,5649
phys_qtaim_all_bcp_laplacian_p05,4239,5649
phys_qtaim_all_bcp_laplacian_p50,4239,5649
phys_qtaim_all_bcp_laplacian_p95,4239,5649
phys_qtaim_all_bcp_laplacian_std,4239,5649
phys_qtaim_all_bcp_rho_max,4239,5649
phys_qtaim_all_bcp_rho_mean,4239,5649
phys_qtaim_all_bcp_rho_min,4239,5649
phys_qtaim_all_bcp_rho_p05,4239,5649
phys_qtaim_all_bcp_rho_p50,4239,5649
phys_qtaim_all_bcp_rho_p95,4239,5649
phys_qtaim_all_bcp_rho_std,4239,5649
phys_qtaim_all_bcp_sign_lambda2_rho_max,4239,5649
phys_qtaim_all_bcp_sign_lambda2_rho_mean,4239,5649
phys_qtaim_all_bcp_sign_lambda2_rho_min,4239,5649
phys_qtaim_all_bcp_sign_lambda2_rho_p05,4239,5649
phys_qtaim_all_bcp_sign_lambda2_rho_p50,4239,5649
phys_qtaim_all_bcp_sign_lambda2_rho_p95,4239,5649
phys_qtaim_all_bcp_sign_lambda2_rho_std,4239,5649
phys_qtaim_bcp_count,4239,5649
phys_qtaim_nontrigger_bcp_ELF_max,4239,5649
phys_qtaim_nontrigger_bcp_ELF_mean,4239,5649
phys_qtaim_nontrigger_bcp_ELF_min,4239,5649
phys_qtaim_nontrigger_bcp_ELF_p05,4239,5649
phys_qtaim_nontrigger_bcp_ELF_p50,4239,5649
phys_qtaim_nontrigger_bcp_ELF_p95,4239,5649
phys_qtaim_nontrigger_bcp_ELF_std,4239,5649
phys_qtaim_nontrigger_bcp_G_max,4239,5649
phys_qtaim_nontrigger_bcp_G_mean,4239,5649
phys_qtaim_nontrigger_bcp_G_min,4239,5649
phys_qtaim_nontrigger_bcp_G_p05,4239,5649
phys_qtaim_nontrigger_bcp_G_p50,4239,5649
phys_qtaim_nontrigger_bcp_G_p95,4239,5649
phys_qtaim_nontrigger_bcp_G_std,4239,5649
phys_qtaim_nontrigger_bcp_H_max,4239,5649
phys_qtaim_nontrigger_bcp_H_mean,4239,5649
phys_qtaim_nontrigger_bcp_H_min,4239,5649
phys_qtaim_nontrigger_bcp_H_p05,4239,5649
phys_qtaim_nontrigger_bcp_H_p50,4239,5649
phys_qtaim_nontrigger_bcp_H_p95,4239,5649
phys_qtaim_nontrigger_bcp_H_std,4239,5649
phys_qtaim_nontrigger_bcp_LOL_max,4239,5649
phys_qtaim_nontrigger_bcp_LOL_mean,4239,5649
phys_qtaim_nontrigger_bcp_LOL_min,4239,5649
phys_qtaim_nontrigger_bcp_LOL_p05,4239,5649
phys_qtaim_nontrigger_bcp_LOL_p50,4239,5649
phys_qtaim_nontrigger_bcp_LOL_p95,4239,5649
phys_qtaim_nontrigger_bcp_LOL_std,4239,5649
phys_qtaim_nontrigger_bcp_V_max,4239,5649
phys_qtaim_nontrigger_bcp_V_mean,4239,5649
phys_qtaim_nontrigger_bcp_V_min,4239,5649
phys_qtaim_nontrigger_bcp_V_p05,4239,5649
phys_qtaim_nontrigger_bcp_V_p50,4239,5649
phys_qtaim_nontrigger_bcp_V_p95,4239,5649
phys_qtaim_nontrigger_bcp_V_std,4239,5649
phys_qtaim_nontrigger_bcp_count,4239,5649
phys_qtaim_nontrigger_bcp_ellipticity_max,4239,5649
phys_qtaim_nontrigger_bcp_ellipticity_mean,4239,5649
phys_qtaim_nontrigger_bcp_ellipticity_min,4239,5649
phys_qtaim_nontrigger_bcp_ellipticity_p05,4239,5649
phys_qtaim_nontrigger_bcp_ellipticity_p50,4239,5649
phys_qtaim_nontrigger_bcp_ellipticity_p95,4239,5649
phys_qtaim_nontrigger_bcp_ellipticity_std,4239,5649
phys_qtaim_nontrigger_bcp_laplacian_max,4239,5649
phys_qtaim_nontrigger_bcp_laplacian_mean,4239,5649
phys_qtaim_nontrigger_bcp_laplacian_min,4239,5649
phys_qtaim_nontrigger_bcp_laplacian_p05,4239,5649
phys_qtaim_nontrigger_bcp_laplacian_p50,4239,5649
phys_qtaim_nontrigger_bcp_laplacian_p95,4239,5649
phys_qtaim_nontrigger_bcp_laplacian_std,4239,5649
phys_qtaim_nontrigger_bcp_rho_max,4239,5649
phys_qtaim_nontrigger_bcp_rho_mean,4239,5649
phys_qtaim_nontrigger_bcp_rho_min,4239,5649
phys_qtaim_nontrigger_bcp_rho_p05,4239,5649
phys_qtaim_nontrigger_bcp_rho_p50,4239,5649
phys_qtaim_nontrigger_bcp_rho_p95,4239,5649
phys_qtaim_nontrigger_bcp_rho_std,4239,5649
phys_qtaim_nontrigger_bcp_sign_lambda2_rho_max,4239,5649
phys_qtaim_nontrigger_bcp_sign_lambda2_rho_mean,4239,5649
phys_qtaim_nontrigger_bcp_sign_lambda2_rho_min,4239,5649
phys_qtaim_nontrigger_bcp_sign_lambda2_rho_p05,4239,5649
phys_qtaim_nontrigger_bcp_sign_lambda2_rho_p50,4239,5649
phys_qtaim_nontrigger_bcp_sign_lambda2_rho_p95,4239,5649
phys_qtaim_nontrigger_bcp_sign_lambda2_rho_std,4239,5649
phys_qtaim_pair_C_C_count,4239,5649
phys_qtaim_pair_C_N_H_max,4239,5649
phys_qtaim_pair_C_N_H_mean,4239,5649
phys_qtaim_pair_C_N_H_min,4239,5649
phys_qtaim_pair_C_N_H_p05,4239,5649
phys_qtaim_pair_C_N_H_p50,4239,5649
phys_qtaim_pair_C_N_H_p95,4239,5649
phys_qtaim_pair_C_N_H_std,4239,5649
phys_qtaim_pair_C_N_count,4239,5649
phys_qtaim_pair_C_N_ellipticity_max,4239,5649
phys_qtaim_pair_C_N_ellipticity_mean,4239,5649
phys_qtaim_pair_C_N_ellipticity_min,4239,5649
phys_qtaim_pair_C_N_ellipticity_p05,4239,5649
phys_qtaim_pair_C_N_ellipticity_p50,4239,5649
phys_qtaim_pair_C_N_ellipticity_p95,4239,5649
phys_qtaim_pair_C_N_ellipticity_std,4239,5649
phys_qtaim_pair_C_N_laplacian_max,4239,5649
phys_qtaim_pair_C_N_laplacian_mean,4239,5649
phys_qtaim_pair_C_N_laplacian_min,4239,5649
phys_qtaim_pair_C_N_laplacian_p05,4239,5649
phys_qtaim_pair_C_N_laplacian_p50,4239,5649
phys_qtaim_pair_C_N_laplacian_p95,4239,5649
phys_qtaim_pair_C_N_laplacian_std,4239,5649
phys_qtaim_pair_C_N_rho_max,4239,5649
phys_qtaim_pair_C_N_rho_mean,4239,5649
phys_qtaim_pair_C_N_rho_min,4239,5649
phys_qtaim_pair_C_N_rho_p05,4239,5649
phys_qtaim_pair_C_N_rho_p50,4239,5649
phys_qtaim_pair_C_N_rho_p95,4239,5649
phys_qtaim_pair_C_N_rho_std,4239,5649
phys_qtaim_pair_C_O_count,4239,5649
phys_qtaim_pair_H_C_count,4239,5649
phys_qtaim_pair_H_N_count,4239,5649
phys_qtaim_pair_H_O_count,4239,5649
phys_qtaim_pair_N_N_count,4239,5649
phys_qtaim_pair_N_O_H_max,4239,5649
phys_qtaim_pair_N_O_H_mean,4239,5649
phys_qtaim_pair_N_O_H_min,4239,5649
phys_qtaim_pair_N_O_H_p05,4239,5649
phys_qtaim_pair_N_O_H_p50,4239,5649
phys_qtaim_pair_N_O_H_p95,4239,5649
phys_qtaim_pair_N_O_H_std,4239,5649
phys_qtaim_pair_N_O_count,4239,5649
phys_qtaim_pair_N_O_ellipticity_max,4239,5649
phys_qtaim_pair_N_O_ellipticity_mean,4239,5649
phys_qtaim_pair_N_O_ellipticity_min,4239,5649
phys_qtaim_pair_N_O_ellipticity_p05,4239,5649
phys_qtaim_pair_N_O_ellipticity_p50,4239,5649
phys_qtaim_pair_N_O_ellipticity_p95,4239,5649
phys_qtaim_pair_N_O_ellipticity_std,4239,5649
phys_qtaim_pair_N_O_laplacian_max,4239,5649
phys_qtaim_pair_N_O_laplacian_mean,4239,5649
phys_qtaim_pair_N_O_laplacian_min,4239,5649
phys_qtaim_pair_N_O_laplacian_p05,4239,5649
phys_qtaim_pair_N_O_laplacian_p50,4239,5649
phys_qtaim_pair_N_O_laplacian_p95,4239,5649
phys_qtaim_pair_N_O_laplacian_std,4239,5649
phys_qtaim_pair_N_O_rho_max,4239,5649
phys_qtaim_pair_N_O_rho_mean,4239,5649
phys_qtaim_pair_N_O_rho_min,4239,5649
phys_qtaim_pair_N_O_rho_p05,4239,5649
phys_qtaim_pair_N_O_rho_p50,4239,5649
phys_qtaim_pair_N_O_rho_p95,4239,5649
phys_qtaim_pair_N_O_rho_std,4239,5649
phys_qtaim_pair_O_O_count,4239,5649
phys_qtaim_trigger_found,4239,5649
phys_esp_area_negative_ang2,4238,5649
phys_esp_area_negative_bohr2,4238,5649
phys_esp_area_nonpolar_ang2,4238,5649
phys_esp_area_nonpolar_pct,4238,5649
phys_esp_area_polar_ang2,4238,5649
phys_esp_area_polar_pct,4238,5649
phys_esp_area_positive_ang2,4238,5649
phys_esp_area_positive_bohr2,4238,5649
phys_esp_area_total_ang2,4238,5649
phys_esp_area_total_bohr2,4238,5649
phys_esp_avg_negative_au,4238,5649
phys_esp_avg_negative_kcal,4238,5649
phys_esp_avg_positive_au,4238,5649
phys_esp_avg_positive_kcal,4238,5649
phys_esp_avg_total_au,4238,5649
phys_esp_avg_total_kcal,4238,5649
phys_esp_est_density_gcm3,4238,5649
phys_esp_global_max_au,4238,5649
phys_esp_global_min_au,4238,5649
phys_esp_mpi_ev,4238,5649
phys_esp_mpi_kcal,4238,5649
phys_esp_nu,4238,5649
phys_esp_pi_au,4238,5649
phys_esp_pi_kcal,4238,5649
phys_esp_sigma2_nu_au2,4238,5649
phys_esp_sigma2_nu_kcal2,4238,5649
phys_esp_sigma2_tot_au2,4238,5649
phys_esp_sigma2_tot_kcal2,4238,5649
phys_esp_skew_negative,4238,5649
phys_esp_skew_positive,4238,5649
phys_esp_skew_total,4238,5649
phys_esp_surface_maxima_count,4238,5649
phys_esp_surface_minima_count,4238,5649
phys_esp_variance_negative_au2,4238,5649
phys_esp_variance_negative_kcal2,4238,5649
phys_esp_variance_positive_au2,4238,5649
phys_esp_variance_positive_kcal2,4238,5649
phys_esp_volume_ang3,4238,5649
phys_esp_volume_bohr3,4238,5649
phys_esp_vs_max_kcal,4238,5649
phys_esp_vs_min_kcal,4238,5649
phys_qtaim_trigger_bcp_ALIE,4237,5649
phys_qtaim_trigger_bcp_ELF,4237,5649
phys_qtaim_trigger_bcp_G,4237,5649
phys_qtaim_trigger_bcp_H,4237,5649
phys_qtaim_trigger_bcp_IRI,4237,5649
phys_qtaim_trigger_bcp_K,4237,5649
phys_qtaim_trigger_bcp_LOL,4237,5649
phys_qtaim_trigger_bcp_RDG,4237,5649
phys_qtaim_trigger_bcp_V,4237,5649
phys_qtaim_trigger_bcp_ellipticity,4237,5649
phys_qtaim_trigger_bcp_eta,4237,5649
phys_qtaim_trigger_bcp_laplacian,4237,5649
phys_qtaim_trigger_bcp_rho,4237,5649
phys_qtaim_trigger_bcp_sign_lambda2_rho,4237,5649
phys_qtaim_trigger_bcp_stiffness,4237,5649
phys_qtaim_trigger_bcp_stress_polarizability,4237,5649
phys_qtaim_trigger_bcp_stress_stiffness,4237,5649
phys_qtaim_trigger_bcp_total_esp_au,4237,5649
phys_qtaim_pair_C_C_H_max,4212,5649
phys_qtaim_pair_C_C_H_mean,4212,5649
phys_qtaim_pair_C_C_H_min,4212,5649
phys_qtaim_pair_C_C_H_p05,4212,5649
phys_qtaim_pair_C_C_H_p50,4212,5649
phys_qtaim_pair_C_C_H_p95,4212,5649
phys_qtaim_pair_C_C_H_std,4212,5649
phys_qtaim_pair_C_C_ellipticity_max,4212,5649
phys_qtaim_pair_C_C_ellipticity_mean,4212,5649
phys_qtaim_pair_C_C_ellipticity_min,4212,5649
phys_qtaim_pair_C_C_ellipticity_p05,4212,5649
phys_qtaim_pair_C_C_ellipticity_p50,4212,5649
phys_qtaim_pair_C_C_ellipticity_p95,4212,5649
phys_qtaim_pair_C_C_ellipticity_std,4212,5649
phys_qtaim_pair_C_C_laplacian_max,4212,5649
phys_qtaim_pair_C_C_laplacian_mean,4212,5649
phys_qtaim_pair_C_C_laplacian_min,4212,5649
phys_qtaim_pair_C_C_laplacian_p05,4212,5649
phys_qtaim_pair_C_C_laplacian_p50,4212,5649
phys_qtaim_pair_C_C_laplacian_p95,4212,5649
phys_qtaim_pair_C_C_laplacian_std,4212,5649
phys_qtaim_pair_C_C_rho_max,4212,5649
phys_qtaim_pair_C_C_rho_mean,4212,5649
phys_qtaim_pair_C_C_rho_min,4212,5649
phys_qtaim_pair_C_C_rho_p05,4212,5649
phys_qtaim_pair_C_C_rho_p50,4212,5649
phys_qtaim_pair_C_C_rho_p95,4212,5649
phys_qtaim_pair_C_C_rho_std,4212,5649
phys_qtaim_pair_H_N_H_max,3839,5649
phys_qtaim_pair_H_N_H_mean,3839,5649
phys_qtaim_pair_H_N_H_min,3839,5649
phys_qtaim_pair_H_N_H_p05,3839,5649
phys_qtaim_pair_H_N_H_p50,3839,5649
phys_qtaim_pair_H_N_H_p95,3839,5649
phys_qtaim_pair_H_N_H_std,3839,5649
phys_qtaim_pair_H_N_ellipticity_max,3839,5649
phys_qtaim_pair_H_N_ellipticity_mean,3839,5649
phys_qtaim_pair_H_N_ellipticity_min,3839,5649
phys_qtaim_pair_H_N_ellipticity_p05,3839,5649
phys_qtaim_pair_H_N_ellipticity_p50,3839,5649
phys_qtaim_pair_H_N_ellipticity_p95,3839,5649
phys_qtaim_pair_H_N_ellipticity_std,3839,5649
phys_qtaim_pair_H_N_laplacian_max,3839,5649
phys_qtaim_pair_H_N_laplacian_mean,3839,5649
phys_qtaim_pair_H_N_laplacian_min,3839,5649
phys_qtaim_pair_H_N_laplacian_p05,3839,5649
phys_qtaim_pair_H_N_laplacian_p50,3839,5649
phys_qtaim_pair_H_N_laplacian_p95,3839,5649
phys_qtaim_pair_H_N_laplacian_std,3839,5649
phys_qtaim_pair_H_N_rho_max,3839,5649
phys_qtaim_pair_H_N_rho_mean,3839,5649
phys_qtaim_pair_H_N_rho_min,3839,5649
phys_qtaim_pair_H_N_rho_p05,3839,5649
phys_qtaim_pair_H_N_rho_p50,3839,5649
phys_qtaim_pair_H_N_rho_p95,3839,5649
phys_qtaim_pair_H_N_rho_std,3839,5649
phys_qtaim_pair_N_N_H_max,3456,5649
phys_qtaim_pair_N_N_H_mean,3456,5649
phys_qtaim_pair_N_N_H_min,3456,5649
phys_qtaim_pair_N_N_H_p05,3456,5649
phys_qtaim_pair_N_N_H_p50,3456,5649
phys_qtaim_pair_N_N_H_p95,3456,5649
phys_qtaim_pair_N_N_H_std,3456,5649
phys_qtaim_pair_N_N_ellipticity_max,3456,5649
phys_qtaim_pair_N_N_ellipticity_mean,3456,5649
phys_qtaim_pair_N_N_ellipticity_min,3456,5649
phys_qtaim_pair_N_N_ellipticity_p05,3456,5649
phys_qtaim_pair_N_N_ellipticity_p50,3456,5649
phys_qtaim_pair_N_N_ellipticity_p95,3456,5649
phys_qtaim_pair_N_N_ellipticity_std,3456,5649
phys_qtaim_pair_N_N_laplacian_max,3456,5649
phys_qtaim_pair_N_N_laplacian_mean,3456,5649
phys_qtaim_pair_N_N_laplacian_min,3456,5649
phys_qtaim_pair_N_N_laplacian_p05,3456,5649
phys_qtaim_pair_N_N_laplacian_p50,3456,5649
phys_qtaim_pair_N_N_laplacian_p95,3456,5649
phys_qtaim_pair_N_N_laplacian_std,3456,5649
phys_qtaim_pair_N_N_rho_max,3456,5649
phys_qtaim_pair_N_N_rho_mean,3456,5649
phys_qtaim_pair_N_N_rho_min,3456,5649
phys_qtaim_pair_N_N_rho_p05,3456,5649
phys_qtaim_pair_N_N_rho_p50,3456,5649
phys_qtaim_pair_N_N_rho_p95,3456,5649
phys_qtaim_pair_N_N_rho_std,3456,5649
phys_qtaim_pair_H_O_H_max,1750,5649
phys_qtaim_pair_H_O_H_mean,1750,5649
phys_qtaim_pair_H_O_H_min,1750,5649
phys_qtaim_pair_H_O_H_p05,1750,5649
phys_qtaim_pair_H_O_H_p50,1750,5649
phys_qtaim_pair_H_O_H_p95,1750,5649
phys_qtaim_pair_H_O_H_std,1750,5649
phys_qtaim_pair_H_O_ellipticity_max,1750,5649
phys_qtaim_pair_H_O_ellipticity_mean,1750,5649
phys_qtaim_pair_H_O_ellipticity_min,1750,5649
phys_qtaim_pair_H_O_ellipticity_p05,1750,5649
phys_qtaim_pair_H_O_ellipticity_p50,1750,5649
phys_qtaim_pair_H_O_ellipticity_p95,1750,5649
phys_qtaim_pair_H_O_ellipticity_std,1750,5649
phys_qtaim_pair_H_O_laplacian_max,1750,5649
phys_qtaim_pair_H_O_laplacian_mean,1750,5649
phys_qtaim_pair_H_O_laplacian_min,1750,5649
phys_qtaim_pair_H_O_laplacian_p05,1750,5649
phys_qtaim_pair_H_O_laplacian_p50,1750,5649
phys_qtaim_pair_H_O_laplacian_p95,1750,5649
phys_qtaim_pair_H_O_laplacian_std,1750,5649
phys_qtaim_pair_H_O_rho_max,1750,5649
phys_qtaim_pair_H_O_rho_mean,1750,5649
phys_qtaim_pair_H_O_rho_min,1750,5649
phys_qtaim_pair_H_O_rho_p05,1750,5649
phys_qtaim_pair_H_O_rho_p50,1750,5649
phys_qtaim_pair_H_O_rho_p95,1750,5649
phys_qtaim_pair_H_O_rho_std,1750,5649
phys_qtaim_pair_C_O_H_max,940,5649
phys_qtaim_pair_C_O_H_mean,940,5649
phys_qtaim_pair_C_O_H_min,940,5649
phys_qtaim_pair_C_O_H_p05,940,5649
phys_qtaim_pair_C_O_H_p50,940,5649
phys_qtaim_pair_C_O_H_p95,940,5649
phys_qtaim_pair_C_O_H_std,940,5649
phys_qtaim_pair_C_O_ellipticity_max,940,5649
phys_qtaim_pair_C_O_ellipticity_mean,940,5649
phys_qtaim_pair_C_O_ellipticity_min,940,5649
phys_qtaim_pair_C_O_ellipticity_p05,940,5649
phys_qtaim_pair_C_O_ellipticity_p50,940,5649
phys_qtaim_pair_C_O_ellipticity_p95,940,5649
phys_qtaim_pair_C_O_ellipticity_std,940,5649
phys_qtaim_pair_C_O_laplacian_max,940,5649
phys_qtaim_pair_C_O_laplacian_mean,940,5649
phys_qtaim_pair_C_O_laplacian_min,940,5649
phys_qtaim_pair_C_O_laplacian_p05,940,5649
phys_qtaim_pair_C_O_laplacian_p50,940,5649
phys_qtaim_pair_C_O_laplacian_p95,940,5649
phys_qtaim_pair_C_O_laplacian_std,940,5649
phys_qtaim_pair_C_O_rho_max,940,5649
phys_qtaim_pair_C_O_rho_mean,940,5649
phys_qtaim_pair_C_O_rho_min,940,5649
phys_qtaim_pair_C_O_rho_p05,940,5649
phys_qtaim_pair_C_O_rho_p50,940,5649
phys_qtaim_pair_C_O_rho_p95,940,5649
phys_qtaim_pair_C_O_rho_std,940,5649
phys_qtaim_pair_O_O_H_max,256,5649
phys_qtaim_pair_O_O_H_mean,256,5649
phys_qtaim_pair_O_O_H_min,256,5649
phys_qtaim_pair_O_O_H_p05,256,5649
phys_qtaim_pair_O_O_H_p50,256,5649
phys_qtaim_pair_O_O_H_p95,256,5649
phys_qtaim_pair_O_O_H_std,256,5649
phys_qtaim_pair_O_O_ellipticity_max,256,5649
phys_qtaim_pair_O_O_ellipticity_mean,256,5649
phys_qtaim_pair_O_O_ellipticity_min,256,5649
phys_qtaim_pair_O_O_ellipticity_p05,256,5649
phys_qtaim_pair_O_O_ellipticity_p50,256,5649
phys_qtaim_pair_O_O_ellipticity_p95,256,5649
phys_qtaim_pair_O_O_ellipticity_std,256,5649
phys_qtaim_pair_O_O_laplacian_max,256,5649
phys_qtaim_pair_O_O_laplacian_mean,256,5649
phys_qtaim_pair_O_O_laplacian_min,256,5649
phys_qtaim_pair_O_O_laplacian_p05,256,5649
phys_qtaim_pair_O_O_laplacian_p50,256,5649
phys_qtaim_pair_O_O_laplacian_p95,256,5649
phys_qtaim_pair_O_O_laplacian_std,256,5649
phys_qtaim_pair_O_O_rho_max,256,5649
phys_qtaim_pair_O_O_rho_mean,256,5649
phys_qtaim_pair_O_O_rho_min,256,5649
phys_qtaim_pair_O_O_rho_p05,256,5649
phys_qtaim_pair_O_O_rho_p50,256,5649
phys_qtaim_pair_O_O_rho_p95,256,5649
phys_qtaim_pair_O_O_rho_std,256,5649
phys_qtaim_pair_H_C_H_max,0,5649
phys_qtaim_pair_H_C_H_mean,0,5649
phys_qtaim_pair_H_C_H_min,0,5649
phys_qtaim_pair_H_C_H_p05,0,5649
phys_qtaim_pair_H_C_H_p50,0,5649
phys_qtaim_pair_H_C_H_p95,0,5649
phys_qtaim_pair_H_C_H_std,0,5649
phys_qtaim_pair_H_C_ellipticity_max,0,5649
phys_qtaim_pair_H_C_ellipticity_mean,0,5649
phys_qtaim_pair_H_C_ellipticity_min,0,5649
phys_qtaim_pair_H_C_ellipticity_p05,0,5649
phys_qtaim_pair_H_C_ellipticity_p50,0,5649
phys_qtaim_pair_H_C_ellipticity_p95,0,5649
phys_qtaim_pair_H_C_ellipticity_std,0,5649
phys_qtaim_pair_H_C_laplacian_max,0,5649
phys_qtaim_pair_H_C_laplacian_mean,0,5649
phys_qtaim_pair_H_C_laplacian_min,0,5649
phys_qtaim_pair_H_C_laplacian_p05,0,5649
phys_qtaim_pair_H_C_laplacian_p50,0,5649
phys_qtaim_pair_H_C_laplacian_p95,0,5649
phys_qtaim_pair_H_C_laplacian_std,0,5649
phys_qtaim_pair_H_C_rho_max,0,5649
phys_qtaim_pair_H_C_rho_mean,0,5649
phys_qtaim_pair_H_C_rho_min,0,5649
phys_qtaim_pair_H_C_rho_p05,0,5649
phys_qtaim_pair_H_C_rho_p50,0,5649
phys_qtaim_pair_H_C_rho_p95,0,5649
phys_qtaim_pair_H_C_rho_std,0,5649
