QID,Molecule,SMILES,BDE_Job_Dir,BDE_Parse_Status,BDE_Bond_Type,BDE_Bond_i_1based,BDE_Bond_j_1based,Vertical_BDE(kcal/mol),Trigger_Bond_Rho,n_copied_files,copied_files,notes
Q01,AL05_Target_0040,C12=NON=C1C=NN(N)N([N+1](=O)[O-1])N2[N+1](=O)[O-1],workflow_records/orca/AL05_Target_0040,complete,N-N,8.0,9.0,72.02099485866086,0.216076,17,qm/AL05_Target_0040_init.xyz; qm/AL05_Target_0040_step1_opt.out; qm/AL05_Target_0040_step1_opt.property.txt; qm/AL05_Target_0040_step1_opt.xyz; qm/AL05_Target_0040_step2_freq.molden.input; qm/AL05_Target_0040_step2_freq.out; qm/AL05_Target_0040_step2_freq.property.txt; qm/AL05_Target_0040_step3_dlpnomp2.out; qm/AL05_Target_0040_step3_dlpnomp2.property.txt; qm/critic2_cpreport.out; qm/esp_output.txt; bde/fragA.out; bde/parent.property.txt; bde/fragB.property.txt; bde/parent.out; bde/fragB.out; bde/fragA.property.txt,
Q02,AL06_Target_0044,C12=NON=C1C=NN2NN(N)O[N+1](=O)[O-1],workflow_records/orca/AL06_Target_0044,complete,N-N,8.0,9.0,72.26174687161671,0.250108,17,qm/AL06_Target_0044_init.xyz; qm/AL06_Target_0044_step1_opt.out; qm/AL06_Target_0044_step1_opt.property.txt; qm/AL06_Target_0044_step1_opt.xyz; qm/AL06_Target_0044_step2_freq.molden.input; qm/AL06_Target_0044_step2_freq.out; qm/AL06_Target_0044_step2_freq.property.txt; qm/AL06_Target_0044_step3_dlpnomp2.out; qm/AL06_Target_0044_step3_dlpnomp2.property.txt; qm/critic2_cpreport.out; qm/esp_output.txt; bde/fragA.out; bde/parent.property.txt; bde/fragB.property.txt; bde/parent.out; bde/fragB.out; bde/fragA.property.txt,
Q03,AL05_Target_0272,C12=NON=C1C=NN=NN(N)N2[N+1](=O)[O-1],workflow_records/orca/AL05_Target_0272,complete,N-N,10.0,11.0,63.50299169839882,0.210985,17,qm/AL05_Target_0272_init.xyz; qm/AL05_Target_0272_step1_opt.out; qm/AL05_Target_0272_step1_opt.property.txt; qm/AL05_Target_0272_step1_opt.xyz; qm/AL05_Target_0272_step2_freq.molden.input; qm/AL05_Target_0272_step2_freq.out; qm/AL05_Target_0272_step2_freq.property.txt; qm/AL05_Target_0272_step3_dlpnomp2.out; qm/AL05_Target_0272_step3_dlpnomp2.property.txt; qm/critic2_cpreport.out; qm/esp_output.txt; bde/fragA.out; bde/parent.property.txt; bde/fragB.property.txt; bde/parent.out; bde/fragB.out; bde/fragA.property.txt,
Q04,AL05_Target_0288,C12=NON=C1C=NON(N)N2[N+1](=O)[O-1],workflow_records/orca/AL05_Target_0288,complete,N-N,9.0,10.0,82.18055366589327,0.228836,17,qm/AL05_Target_0288_init.xyz; qm/AL05_Target_0288_step1_opt.out; qm/AL05_Target_0288_step1_opt.property.txt; qm/AL05_Target_0288_step1_opt.xyz; qm/AL05_Target_0288_step2_freq.molden.input; qm/AL05_Target_0288_step2_freq.out; qm/AL05_Target_0288_step2_freq.property.txt; qm/AL05_Target_0288_step3_dlpnomp2.out; qm/AL05_Target_0288_step3_dlpnomp2.property.txt; qm/critic2_cpreport.out; qm/esp_output.txt; bde/fragA.out; bde/parent.property.txt; bde/fragB.property.txt; bde/parent.out; bde/fragB.out; bde/fragA.property.txt,
Q05,AL05_Target_0043,C12=NON=C1N(N)N=C2N([N+1](=O)[O-1])[N+1](=O)[O-1],workflow_records/orca/AL05_Target_0043,complete,N-N,6.0,7.0,80.12729289140631,0.235047,17,qm/AL05_Target_0043_init.xyz; qm/AL05_Target_0043_step1_opt.out; qm/AL05_Target_0043_step1_opt.property.txt; qm/AL05_Target_0043_step1_opt.xyz; qm/AL05_Target_0043_step2_freq.molden.input; qm/AL05_Target_0043_step2_freq.out; qm/AL05_Target_0043_step2_freq.property.txt; qm/AL05_Target_0043_step3_dlpnomp2.out; qm/AL05_Target_0043_step3_dlpnomp2.property.txt; qm/critic2_cpreport.out; qm/esp_output.txt; bde/fragA.out; bde/parent.property.txt; bde/fragB.property.txt; bde/parent.out; bde/fragB.out; bde/fragA.property.txt,
Q06,AL05_Target_0215,C12=NON=C1C=NNN(N)N2[N+1](=O)[O-1],workflow_records/orca/AL05_Target_0215,complete,N-N,9.0,10.0,62.95611418527903,0.224146,17,qm/AL05_Target_0215_init.xyz; qm/AL05_Target_0215_step1_opt.out; qm/AL05_Target_0215_step1_opt.property.txt; qm/AL05_Target_0215_step1_opt.xyz; qm/AL05_Target_0215_step2_freq.molden.input; qm/AL05_Target_0215_step2_freq.out; qm/AL05_Target_0215_step2_freq.property.txt; qm/AL05_Target_0215_step3_dlpnomp2.out; qm/AL05_Target_0215_step3_dlpnomp2.property.txt; qm/critic2_cpreport.out; qm/esp_output.txt; bde/fragA.out; bde/parent.property.txt; bde/fragB.property.txt; bde/parent.out; bde/fragB.out; bde/fragA.property.txt,
Q07,AL05_Target_0328,C12=NON=C1CN(N)ON2N([N+1](=O)[O-1])[N+1](=O)[O-1],workflow_records/orca/AL05_Target_0328,complete,N-N,7.0,8.0,77.40924768533658,0.181692,17,qm/AL05_Target_0328_init.xyz; qm/AL05_Target_0328_step1_opt.out; qm/AL05_Target_0328_step1_opt.property.txt; qm/AL05_Target_0328_step1_opt.xyz; qm/AL05_Target_0328_step2_freq.molden.input; qm/AL05_Target_0328_step2_freq.out; qm/AL05_Target_0328_step2_freq.property.txt; qm/AL05_Target_0328_step3_dlpnomp2.out; qm/AL05_Target_0328_step3_dlpnomp2.property.txt; qm/critic2_cpreport.out; qm/esp_output.txt; bde/fragA.out; bde/parent.property.txt; bde/fragB.property.txt; bde/parent.out; bde/fragB.out; bde/fragA.property.txt,
Q08,AL06_Target_0001,C12=NON=C1C=NN(N)ON2[N+1](=O)[O-1],workflow_records/orca/AL06_Target_0001,complete,N-N,8.0,9.0,80.3890237584438,0.217797,17,qm/AL06_Target_0001_init.xyz; qm/AL06_Target_0001_step1_opt.out; qm/AL06_Target_0001_step1_opt.property.txt; qm/AL06_Target_0001_step1_opt.xyz; qm/AL06_Target_0001_step2_freq.molden.input; qm/AL06_Target_0001_step2_freq.out; qm/AL06_Target_0001_step2_freq.property.txt; qm/AL06_Target_0001_step3_dlpnomp2.out; qm/AL06_Target_0001_step3_dlpnomp2.property.txt; qm/critic2_cpreport.out; qm/esp_output.txt; bde/fragA.out; bde/parent.property.txt; bde/fragB.property.txt; bde/parent.out; bde/fragB.out; bde/fragA.property.txt,
Q09,AL07_Target_0264,C12=NON=C1C=NN2N(N)NN([N+1](=O)[O-1])NN([N+1](=O)[O-1])C,workflow_records/orca/AL07_Target_0264,complete,N-N,8.0,9.0,71.33831333716859,0.212858,17,qm/AL07_Target_0264_init.xyz; qm/AL07_Target_0264_step1_opt.out; qm/AL07_Target_0264_step1_opt.property.txt; qm/AL07_Target_0264_step1_opt.xyz; qm/AL07_Target_0264_step2_freq.molden.input; qm/AL07_Target_0264_step2_freq.out; qm/AL07_Target_0264_step2_freq.property.txt; qm/AL07_Target_0264_step3_dlpnomp2.out; qm/AL07_Target_0264_step3_dlpnomp2.property.txt; qm/critic2_cpreport.out; qm/esp_output.txt; bde/fragA.out; bde/parent.property.txt; bde/fragB.property.txt; bde/parent.out; bde/fragB.out; bde/fragA.property.txt,
Q10,AL05_Target_0334,C12=NON=C1C=NN(N(N)N2)[N+1](=O)[O-1],workflow_records/orca/AL05_Target_0334,complete,N-N,9.0,10.0,71.78524199644819,0.239801,17,qm/AL05_Target_0334_init.xyz; qm/AL05_Target_0334_step1_opt.out; qm/AL05_Target_0334_step1_opt.property.txt; qm/AL05_Target_0334_step1_opt.xyz; qm/AL05_Target_0334_step2_freq.molden.input; qm/AL05_Target_0334_step2_freq.out; qm/AL05_Target_0334_step2_freq.property.txt; qm/AL05_Target_0334_step3_dlpnomp2.out; qm/AL05_Target_0334_step3_dlpnomp2.property.txt; qm/critic2_cpreport.out; qm/esp_output.txt; bde/fragA.out; bde/parent.property.txt; bde/fragB.property.txt; bde/parent.out; bde/fragB.out; bde/fragA.property.txt,
Q11,AL05_Target_0476,C12=NON=C1C=NN(N)NN2[N+1](=O)[O-1],workflow_records/orca/AL05_Target_0476,complete,N-N,8.0,9.0,68.2200121674638,0.226932,17,qm/AL05_Target_0476_init.xyz; qm/AL05_Target_0476_step1_opt.out; qm/AL05_Target_0476_step1_opt.property.txt; qm/AL05_Target_0476_step1_opt.xyz; qm/AL05_Target_0476_step2_freq.molden.input; qm/AL05_Target_0476_step2_freq.out; qm/AL05_Target_0476_step2_freq.property.txt; qm/AL05_Target_0476_step3_dlpnomp2.out; qm/AL05_Target_0476_step3_dlpnomp2.property.txt; qm/critic2_cpreport.out; qm/esp_output.txt; bde/fragA.out; bde/parent.property.txt; bde/fragB.property.txt; bde/parent.out; bde/fragB.out; bde/fragA.property.txt,
Q12,AL05_Target_0073,C12=NON=C1C=NN(N([N+1](=O)[O-1])N2N)[N+1](=O)[O-1],workflow_records/orca/AL05_Target_0073,complete,N-N,9.0,10.0,32.54514919538445,0.212055,17,qm/AL05_Target_0073_init.xyz; qm/AL05_Target_0073_step1_opt.out; qm/AL05_Target_0073_step1_opt.property.txt; qm/AL05_Target_0073_step1_opt.xyz; qm/AL05_Target_0073_step2_freq.molden.input; qm/AL05_Target_0073_step2_freq.out; qm/AL05_Target_0073_step2_freq.property.txt; qm/AL05_Target_0073_step3_dlpnomp2.out; qm/AL05_Target_0073_step3_dlpnomp2.property.txt; qm/critic2_cpreport.out; qm/esp_output.txt; bde/fragA.out; bde/parent.property.txt; bde/fragB.property.txt; bde/parent.out; bde/fragB.out; bde/fragA.property.txt,
Q13,AL05_Target_0277,C12=NON=C1CN(N)N=NN2O[N+1](=O)[O-1],workflow_records/orca/AL05_Target_0277,complete,N-N,7.0,8.0,68.50093101866892,0.207531,17,qm/AL05_Target_0277_init.xyz; qm/AL05_Target_0277_step1_opt.out; qm/AL05_Target_0277_step1_opt.property.txt; qm/AL05_Target_0277_step1_opt.xyz; qm/AL05_Target_0277_step2_freq.molden.input; qm/AL05_Target_0277_step2_freq.out; qm/AL05_Target_0277_step2_freq.property.txt; qm/AL05_Target_0277_step3_dlpnomp2.out; qm/AL05_Target_0277_step3_dlpnomp2.property.txt; qm/critic2_cpreport.out; qm/esp_output.txt; bde/fragA.out; bde/parent.property.txt; bde/fragB.property.txt; bde/parent.out; bde/fragB.out; bde/fragA.property.txt,
Q14,AL05_Target_0116,C12=NON=C1C=NN2N([N+1](=O)[O-1])NNN,workflow_records/orca/AL05_Target_0116,complete,N-N,8.0,9.0,67.1132545822251,0.206582,17,qm/AL05_Target_0116_init.xyz; qm/AL05_Target_0116_step1_opt.out; qm/AL05_Target_0116_step1_opt.property.txt; qm/AL05_Target_0116_step1_opt.xyz; qm/AL05_Target_0116_step2_freq.molden.input; qm/AL05_Target_0116_step2_freq.out; qm/AL05_Target_0116_step2_freq.property.txt; qm/AL05_Target_0116_step3_dlpnomp2.out; qm/AL05_Target_0116_step3_dlpnomp2.property.txt; qm/critic2_cpreport.out; qm/esp_output.txt; bde/fragA.out; bde/parent.property.txt; bde/fragB.property.txt; bde/parent.out; bde/fragB.out; bde/fragA.property.txt,
Q15,AL05_Target_0059,C12=NON=C1C=NN2N([N+1](=O)[O-1])ON,workflow_records/orca/AL05_Target_0059,complete,N-N,8.0,9.0,62.67585937917861,0.203133,17,qm/AL05_Target_0059_init.xyz; qm/AL05_Target_0059_step1_opt.out; qm/AL05_Target_0059_step1_opt.property.txt; qm/AL05_Target_0059_step1_opt.xyz; qm/AL05_Target_0059_step2_freq.molden.input; qm/AL05_Target_0059_step2_freq.out; qm/AL05_Target_0059_step2_freq.property.txt; qm/AL05_Target_0059_step3_dlpnomp2.out; qm/AL05_Target_0059_step3_dlpnomp2.property.txt; qm/critic2_cpreport.out; qm/esp_output.txt; bde/fragA.out; bde/parent.property.txt; bde/fragB.property.txt; bde/parent.out; bde/fragB.out; bde/fragA.property.txt,
Q16,AL07_Target_0006,C12=NON=C1C=NN(O)N([N+1](=O)[O-1])N2N,workflow_records/orca/AL07_Target_0006,complete,N-N,10.0,11.0,32.34668177847882,0.221355,17,qm/AL07_Target_0006_init.xyz; qm/AL07_Target_0006_step1_opt.out; qm/AL07_Target_0006_step1_opt.property.txt; qm/AL07_Target_0006_step1_opt.xyz; qm/AL07_Target_0006_step2_freq.molden.input; qm/AL07_Target_0006_step2_freq.out; qm/AL07_Target_0006_step2_freq.property.txt; qm/AL07_Target_0006_step3_dlpnomp2.out; qm/AL07_Target_0006_step3_dlpnomp2.property.txt; qm/critic2_cpreport.out; qm/esp_output.txt; bde/fragA.out; bde/parent.property.txt; bde/fragB.property.txt; bde/parent.out; bde/fragB.out; bde/fragA.property.txt,
Q17,AL05_Target_0218,C12=NON=C1C=NN2N(N)N([N+1](=O)[O-1])[N+1](=O)[O-1],workflow_records/orca/AL05_Target_0218,complete,N-N,8.0,9.0,56.00216716798644,0.205117,17,qm/AL05_Target_0218_init.xyz; qm/AL05_Target_0218_step1_opt.out; qm/AL05_Target_0218_step1_opt.property.txt; qm/AL05_Target_0218_step1_opt.xyz; qm/AL05_Target_0218_step2_freq.molden.input; qm/AL05_Target_0218_step2_freq.out; qm/AL05_Target_0218_step2_freq.property.txt; qm/AL05_Target_0218_step3_dlpnomp2.out; qm/AL05_Target_0218_step3_dlpnomp2.property.txt; qm/critic2_cpreport.out; qm/esp_output.txt; bde/fragA.out; bde/parent.property.txt; bde/fragB.property.txt; bde/parent.out; bde/fragB.out; bde/fragA.property.txt,
Q18,AL05_Target_0498,C12=NON=C1C2(NONN)N([N+1](=O)[O-1])[N+1](=O)[O-1],workflow_records/orca/AL05_Target_0498,complete,N-N,9.0,10.0,79.42406110362366,0.212925,17,qm/AL05_Target_0498_init.xyz; qm/AL05_Target_0498_step1_opt.out; qm/AL05_Target_0498_step1_opt.property.txt; qm/AL05_Target_0498_step1_opt.xyz; qm/AL05_Target_0498_step2_freq.molden.input; qm/AL05_Target_0498_step2_freq.out; qm/AL05_Target_0498_step2_freq.property.txt; qm/AL05_Target_0498_step3_dlpnomp2.out; qm/AL05_Target_0498_step3_dlpnomp2.property.txt; qm/critic2_cpreport.out; qm/esp_output.txt; bde/fragA.out; bde/parent.property.txt; bde/fragB.property.txt; bde/parent.out; bde/fragB.out; bde/fragA.property.txt,
Q19,AL05_Target_0225,C12=NON=C1C=NN(N)N(N)N2[N+1](=O)[O-1],workflow_records/orca/AL05_Target_0225,complete,N-N,8.0,9.0,69.2913356871028,0.239286,17,qm/AL05_Target_0225_init.xyz; qm/AL05_Target_0225_step1_opt.out; qm/AL05_Target_0225_step1_opt.property.txt; qm/AL05_Target_0225_step1_opt.xyz; qm/AL05_Target_0225_step2_freq.molden.input; qm/AL05_Target_0225_step2_freq.out; qm/AL05_Target_0225_step2_freq.property.txt; qm/AL05_Target_0225_step3_dlpnomp2.out; qm/AL05_Target_0225_step3_dlpnomp2.property.txt; qm/critic2_cpreport.out; qm/esp_output.txt; bde/fragA.out; bde/parent.property.txt; bde/fragB.property.txt; bde/parent.out; bde/fragB.out; bde/fragA.property.txt,
Q20,AL08_Target_0205,C12=NON=C1C=C([N+1](=O)[O-1])N2N([N+1](=O)[O-1])N,workflow_records/orca/AL08_Target_0205,complete,N-N,11.0,12.0,57.69557013399521,0.213134,17,qm/AL08_Target_0205_init.xyz; qm/AL08_Target_0205_step1_opt.out; qm/AL08_Target_0205_step1_opt.property.txt; qm/AL08_Target_0205_step1_opt.xyz; qm/AL08_Target_0205_step2_freq.molden.input; qm/AL08_Target_0205_step2_freq.out; qm/AL08_Target_0205_step2_freq.property.txt; qm/AL08_Target_0205_step3_dlpnomp2.out; qm/AL08_Target_0205_step3_dlpnomp2.property.txt; qm/critic2_cpreport.out; qm/esp_output.txt; bde/fragA.out; bde/parent.property.txt; bde/fragB.property.txt; bde/parent.out; bde/fragB.out; bde/fragA.property.txt,
